更新时间: 2025-12-31 00:38:43（北京时间）

更新时间,#genre#
2025-12-31 00:38:43,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV7,http://123.155.17.197:8888/rtp/233.50.200.102:5140$浙江电信
CCTV7,http://58.48.104.87:8989/rtp/239.69.1.103:10256$湖北电信
CCTV7,http://180.140.153.3:4022/rtp/239.81.0.116:4056$广西电信
CCTV7,http://222.95.12.2:4022/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://182.123.208.170:12345/rtp/225.1.4.76:1105$河南联通
CCTV7,http://122.234.155.78:55555/rtp/233.50.200.102:5140$浙江电信
CCTV7,http://183.161.175.179:7000/rtp/238.1.78.239:7784$安徽电信
CCTV8,http://112.226.186.244:1025/rtp/239.253.254.194:8000$山东联通
CCTV8,http://123.120.240.126:4022/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://123.155.17.197:8888/rtp/233.50.201.116:5140$浙江电信
CCTV8,http://58.48.104.87:8989/rtp/239.69.1.125:10388$湖北电信
CCTV8,http://180.140.153.3:4022/rtp/239.81.0.234:4056$广西电信
CCTV8,http://222.95.12.2:4022/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://182.123.208.170:12345/rtp/225.1.4.161:1197$河南联通
CCTV8,http://122.234.155.78:55555/rtp/233.50.201.116:5140$浙江电信
CCTV8,http://183.161.175.179:7000/rtp/238.1.78.173:7256$安徽电信
CCTV9,http://112.226.186.244:1025/rtp/239.253.254.79:8000$山东联通
CCTV9,http://123.120.240.126:4022/rtp/239.3.1.62:8112$北京市联通
CCTV9,http://123.155.17.197:8888/rtp/233.50.200.23:5140$浙江电信
CCTV9,http://58.48.104.87:8989/rtp/239.69.1.104:10262$湖北电信
CCTV9,http://180.140.153.3:4022/rtp/239.81.0.117:4056$广西电信
CCTV9,http://222.95.12.2:4022/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://182.123.208.170:12345/rtp/225.1.4.77:1106$河南联通
CCTV9,http://122.234.155.78:55555/rtp/233.50.200.23:5140$浙江电信
CCTV9,http://183.161.175.179:7000/rtp/238.1.78.240:7792$安徽电信
CCTV10,http://112.226.186.244:1025/rtp/239.253.254.234:8000$山东联通
CCTV10,http://123.120.240.126:4022/rtp/239.3.1.63:8116$北京市联通
CCTV10,http://123.155.17.197:8888/rtp/233.50.200.22:5140$浙江电信
CCTV10,http://58.48.104.87:8989/rtp/239.69.1.105:10268$湖北电信
CCTV10,http://180.140.153.3:4022/rtp/239.81.0.118:4056$广西电信
CCTV10,http://222.95.12.2:4022/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://182.123.208.170:12345/rtp/225.1.4.78:1107$河南联通
CCTV10,http://122.234.155.78:55555/rtp/233.50.200.22:5140$浙江电信
CCTV10,http://183.161.175.179:7000/rtp/238.1.78.241:7800$安徽电信
CCTV11,http://112.226.186.244:1025/rtp/239.253.254.169:8000$山东联通
CCTV11,http://123.120.240.126:4022/rtp/239.3.1.152:8120$北京市联通
CCTV11,http://123.155.17.197:8888/rtp/233.50.200.132:5140$浙江电信
CCTV11,http://58.48.104.87:8989/rtp/239.69.1.154:10560$湖北电信
CCTV11,http://180.140.153.3:4022/rtp/239.81.0.229:4056$广西电信
CCTV11,http://222.95.12.2:4022/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://182.123.208.170:12345/rtp/225.1.4.215:1268$河南联通
CCTV11,http://122.234.155.78:55555/rtp/233.50.200.132:5140$浙江电信
CCTV11,http://183.161.175.179:7000/rtp/238.1.78.206:7502$安徽电信
CCTV12,http://112.226.186.244:1025/rtp/239.253.254.235:8000$山东联通
CCTV12,http://123.120.240.126:4022/rtp/239.3.1.64:8124$北京市联通
CCTV12,http://123.155.17.197:8888/rtp/233.50.200.21:5140$浙江电信
CCTV12,http://58.48.104.87:8989/rtp/239.69.1.106:10274$湖北电信
CCTV12,http://180.140.153.3:4022/rtp/239.81.0.119:4056$广西电信
CCTV12,http://222.95.12.2:4022/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://182.123.208.170:12345/rtp/225.1.4.79:1108$河南联通
CCTV12,http://122.234.155.78:55555/rtp/233.50.200.21:5140$浙江电信
CCTV12,http://183.161.175.179:7000/rtp/238.1.78.242:7808$安徽电信
CCTV13,http://112.226.186.244:1025/rtp/239.253.254.175:8000$山东联通
CCTV13,http://123.120.240.126:4022/rtp/239.3.1.124:8128$北京市联通
CCTV13,http://123.155.17.197:8888/rtp/233.50.200.97:5140$浙江电信
CCTV13,http://58.48.104.87:8989/rtp/239.254.96.161:9040$湖北电信
CCTV13,http://180.140.153.3:4022/rtp/239.81.0.206:4056$广西电信
CCTV13,http://222.95.12.2:4022/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://182.123.208.170:12345/rtp/225.1.4.113:1293$河南联通
CCTV13,http://122.234.155.78:55555/rtp/233.50.200.97:5140$浙江电信
CCTV13,http://183.161.175.179:7000/rtp/238.1.79.35:4392$安徽电信
CCTV14,http://112.226.186.244:1025/rtp/239.253.254.236:8000$山东联通
CCTV14,http://123.120.240.126:4022/rtp/239.3.1.65:8132$北京市联通
CCTV14,http://123.155.17.197:8888/rtp/233.50.200.103:5140$浙江电信
CCTV14,http://58.48.104.87:8989/rtp/239.69.1.107:10280$湖北电信
CCTV14,http://180.140.153.3:4022/rtp/239.81.0.120:4056$广西电信
CCTV14,http://222.95.12.2:4022/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://182.123.208.170:12345/rtp/225.1.4.80:1109$河南联通
CCTV14,http://122.234.155.78:55555/rtp/233.50.200.103:5140$浙江电信
CCTV14,http://183.161.175.179:7000/rtp/238.1.78.243:7816$安徽电信
CCTV15,http://112.226.186.244:1025/rtp/239.253.254.170:8000$山东联通
CCTV15,http://123.120.240.126:4022/rtp/239.3.1.153:8136$北京市联通
CCTV15,http://123.155.17.197:8888/rtp/233.50.200.133:5140$浙江电信
CCTV15,http://58.48.104.87:8989/rtp/239.69.1.155:10566$湖北电信
CCTV15,http://180.140.153.3:4022/rtp/239.81.0.230:4056$广西电信
CCTV15,http://222.95.12.2:4022/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://182.123.208.170:12345/rtp/225.1.4.216:1269$河南联通
CCTV15,http://122.234.155.78:55555/rtp/233.50.200.133:5140$浙江电信
CCTV15,http://183.161.175.179:7000/rtp/238.1.78.222:7648$安徽电信
CCTV16,http://123.120.240.126:4022/rtp/239.3.1.184:8001$北京市联通
CCTV16,http://123.155.17.197:8888/rtp/233.50.201.63:5140$浙江电信
CCTV16,http://58.48.104.87:8989/rtp/239.69.1.247:11124$湖北电信
CCTV16,http://180.140.153.3:4022/rtp/239.81.0.142:4056$广西电信
CCTV16,http://180.140.153.3:4022/rtp/239.81.0.144:4056$广西电信
CCTV16,http://222.95.12.2:4022/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://182.123.208.170:12345/rtp/225.1.5.46:1356$河南联通
CCTV16,http://122.234.155.78:55555/rtp/233.50.201.63:5140$浙江电信
CCTV17,http://112.226.186.244:1025/rtp/239.253.254.168:8000$山东联通
CCTV17,http://123.120.240.126:4022/rtp/239.3.1.151:8144$北京市联通
CCTV17,http://123.155.17.197:8888/rtp/233.50.200.113:5140$浙江电信
CCTV17,http://58.48.104.87:8989/rtp/239.69.1.152:10548$湖北电信
CCTV17,http://180.140.153.3:4022/rtp/239.81.0.228:4056$广西电信
CCTV17,http://222.95.12.2:4022/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://182.123.208.170:12345/rtp/225.1.4.226:2506$河南联通
CCTV17,http://122.234.155.78:55555/rtp/233.50.200.113:5140$浙江电信
CCTV17,http://183.161.175.179:7000/rtp/238.1.78.178:7296$安徽电信
CCTV4K,http://123.155.17.197:8888/rtp/233.50.201.226:5140$浙江电信
CCTV4K,http://58.48.104.87:8989/rtp/239.69.1.12:9712$湖北电信
CCTV4K,http://180.140.153.3:4022/rtp/239.81.0.196:4056$广西电信
CCTV4K,http://122.234.155.78:55555/rtp/233.50.201.226:5140$浙江电信
CCTV4K,http://183.161.175.179:7000/rtp/238.1.78.137:6968$安徽电信
兵器科技,http://58.48.104.87:8989/rtp/239.69.1.79:10114$湖北电信
兵器科技,http://183.161.175.179:7000/rtp/238.1.79.56:4584$安徽电信
风云音乐,http://183.161.175.179:7000/rtp/238.1.79.64:4648$安徽电信
风云足球,http://58.48.104.87:8989/rtp/239.69.1.81:10126$湖北电信
风云足球,http://182.123.208.170:12345/rtp/225.1.4.200:1250$河南联通
